Item Code,Item Name,Item Group,Item category,Item Sub-Category,
CCUP-0017-DOWELL,16 sqmm Bimetallic (Cu Lug-Al Barrel) Ring Type Lug-DOWELL,Bimetallic Ring Type Lug,Electrical BoS,Bimetallic Ring Type Lug,
CCUP-0016-COMET,10 sqmm Bimetallic (Cu Lug-Al Barrel) Ring Type Lug-COMET,Bimetallic Ring Type Lug,Electrical BoS,Bimetallic Ring Type Lug,
CCUP-0016-JAINSON,10 sqmm Bimetallic (Cu Lug-Al Barrel) Ring Type Lug-JAINSON,Bimetallic Ring Type Lug,Electrical BoS,Bimetallic Ring Type Lug,
CCUP-0016-DOWELL,10 sqmm Bimetallic (Cu Lug-Al Barrel) Ring Type Lug-DOWELL,Bimetallic Ring Type Lug,Electrical BoS,Bimetallic Ring Type Lug,
CCUP-0015-COMET,120 sqmm Cu Ring Type Lug-COMET,Cu Ring Type Lug,Electrical BoS,Cu Ring Type Lug,
CCUP-0015-JAINSON,120 sqmm Cu Ring Type Lug-JAINSON,Cu Ring Type Lug,Electrical BoS,Cu Ring Type Lug,
CCUP-0015-DOWELL,120 sqmm Cu Ring Type Lug-DOWELL,Cu Ring Type Lug,Electrical BoS,Cu Ring Type Lug,
CCUP-0014-COMET,120 sqmm Cu Pin Type Lug-COMET,Cu Pin Type Lug,Electrical BoS,Cu Pin Type Lug,
CCUP-0014-JAINSON,120 sqmm Cu Pin Type Lug-JAINSON,Cu Pin Type Lug,Electrical BoS,Cu Pin Type Lug,
CCUP-0014-DOWELL,120 sqmm Cu Pin Type Lug-DOWELL,Cu Pin Type Lug,Electrical BoS,Cu Pin Type Lug,
CALR-0011-COMET,120 sqmm Al Ring Type Lug-COMET,Al Ring Type Lug,Electrical BoS,Al Ring Type Lug,
CALR-0011-JAINSON,120 sqmm Al Ring Type Lug-JAINSON,Al Ring Type Lug,Electrical BoS,Al Ring Type Lug,
CALR-0011-DOWELL,120 sqmm Al Ring Type Lug-DOWELL,Al Ring Type Lug,Electrical BoS,Al Ring Type Lug,
CALP-0012-COMET,120 sqmm Al Pin Type Lug-COMET,Al Pin Type Lug,Electrical BoS,Al Pin Type Lug,
CALP-0012-JAINSON,120 sqmm Al Pin Type Lug-JAINSON,Al Pin Type Lug,Electrical BoS,Al Pin Type Lug,
CALP-0012-DOWELL,120 sqmm Al Pin Type Lug-DOWELL,Al Pin Type Lug,Electrical BoS,Al Pin Type Lug,
CCUP-0013-COMET,95 sqmm Cu Ring Type Lug-COMET,Cu Ring Type Lug,Electrical BoS,Cu Ring Type Lug,
CCUP-0013-JAINSON,95 sqmm Cu Ring Type Lug-JAINSON,Cu Ring Type Lug,Electrical BoS,Cu Ring Type Lug,
CCUP-0013-DOWELL,95 sqmm Cu Ring Type Lug-DOWELL,Cu Ring Type Lug,Electrical BoS,Cu Ring Type Lug,
CCUP-0012-COMET,95 sqmm Cu Pin Type Lug-COMET,Cu Pin Type Lug,Electrical BoS,Cu Pin Type Lug,
CCUP-0012-JAINSON,95 sqmm Cu Pin Type Lug-JAINSON,Cu Pin Type Lug,Electrical BoS,Cu Pin Type Lug,
CCUP-0012-DOWELL,95 sqmm Cu Pin Type Lug-DOWELL,Cu Pin Type Lug,Electrical BoS,Cu Pin Type Lug,
CALR-0010-COMET,95 sqmm Al Ring Type Lug-COMET,Al Ring Type Lug,Electrical BoS,Al Ring Type Lug,
CALR-0010-JAINSON,95 sqmm Al Ring Type Lug-JAINSON,Al Ring Type Lug,Electrical BoS,Al Ring Type Lug,
CALR-0010-DOWELL,95 sqmm Al Ring Type Lug-DOWELL,Al Ring Type Lug,Electrical BoS,Al Ring Type Lug,
CALP-0011-COMET,95 sqmm Al Pin Type Lug-COMET,Al Pin Type Lug,Electrical BoS,Al Pin Type Lug,
CALP-0011-JAINSON,95 sqmm Al Pin Type Lug-JAINSON,Al Pin Type Lug,Electrical BoS,Al Pin Type Lug,
CALP-0011-DOWELL,95 sqmm Al Pin Type Lug-DOWELL,Al Pin Type Lug,Electrical BoS,Al Pin Type Lug,
CCUP-0011-COMET,70 sqmm Cu Ring Type Lug-COMET,Cu Ring Type Lug,Electrical BoS,Cu Ring Type Lug,
CCUP-0011-JAINSON,70 sqmm Cu Ring Type Lug-JAINSON,Cu Ring Type Lug,Electrical BoS,Cu Ring Type Lug,
CCUP-0011-DOWELL,70 sqmm Cu Ring Type Lug-DOWELL,Cu Ring Type Lug,Electrical BoS,Cu Ring Type Lug,
CCUP-0010-COMET,70 sqmm Cu Pin Type Lug-COMET,Cu Pin Type Lug,Electrical BoS,Cu Pin Type Lug,
CCUP-0010-JAINSON,70 sqmm Cu Pin Type Lug-JAINSON,Cu Pin Type Lug,Electrical BoS,Cu Pin Type Lug,
CCUP-0010-DOWELL,70 sqmm Cu Pin Type Lug-DOWELL,Cu Pin Type Lug,Electrical BoS,Cu Pin Type Lug,
CALR-0009-COMET,70 sqmm Al Ring Type Lug-COMET,Al Ring Type Lug,Electrical BoS,Al Ring Type Lug,
CALR-0009-JAINSON,70 sqmm Al Ring Type Lug-JAINSON,Al Ring Type Lug,Electrical BoS,Al Ring Type Lug,
CALR-0009-DOWELL,70 sqmm Al Ring Type Lug-DOWELL,Al Ring Type Lug,Electrical BoS,Al Ring Type Lug,
CALP-0010-COMET,70 sqmm Al Pin Type Lug-COMET,Al Pin Type Lug,Electrical BoS,Al Pin Type Lug,
CALP-0010-JAINSON,70 sqmm Al Pin Type Lug-JAINSON,Al Pin Type Lug,Electrical BoS,Al Pin Type Lug,
CALP-0010-DOWELL,70 sqmm Al Pin Type Lug-DOWELL,Al Pin Type Lug,Electrical BoS,Al Pin Type Lug,
CCUP-0009-COMET,50 sqmm Cu Ring Type Lug-COMET,Cu Ring Type Lug,Electrical BoS,Cu Ring Type Lug,
CCUP-0009-JAINSON,50 sqmm Cu Ring Type Lug-JAINSON,Cu Ring Type Lug,Electrical BoS,Cu Ring Type Lug,
CCUP-0009-DOWELL,50 sqmm Cu Ring Type Lug-DOWELL,Cu Ring Type Lug,Electrical BoS,Cu Ring Type Lug,
CCUP-0008-COMET,50 sqmm Cu Pin Type Lug-COMET,Cu Pin Type Lug,Electrical BoS,Cu Pin Type Lug,
CCUP-0008-JAINSON,50 sqmm Cu Pin Type Lug-JAINSON,Cu Pin Type Lug,Electrical BoS,Cu Pin Type Lug,
CCUP-0008-DOWELL,50 sqmm Cu Pin Type Lug-DOWELL,Cu Pin Type Lug,Electrical BoS,Cu Pin Type Lug,
CALR-0008-COMET,50 sqmm Al Ring Type Lug-COMET,Al Ring Type Lug,Electrical BoS,Al Ring Type Lug,
CALR-0008-JAINSON,50 sqmm Al Ring Type Lug-JAINSON,Al Ring Type Lug,Electrical BoS,Al Ring Type Lug,
CALR-0008-DOWELL,50 sqmm Al Ring Type Lug-DOWELL,Al Ring Type Lug,Electrical BoS,Al Ring Type Lug,
CALP-0009-COMET,50 sqmm Al Pin Type Lug-COMET,Al Pin Type Lug,Electrical BoS,Al Pin Type Lug,
CALP-0009-JAINSON,50 sqmm Al Pin Type Lug-JAINSON,Al Pin Type Lug,Electrical BoS,Al Pin Type Lug,
CALP-0009-DOWELL,50 sqmm Al Pin Type Lug-DOWELL,Al Pin Type Lug,Electrical BoS,Al Pin Type Lug,
AIFL-0001-COMET,2.5 sqmm Al Fork Lug-COMET,Al Fork Lug,Electrical BoS,Al Fork Lug,
AIFL-0001-JAINSON,2.5 sqmm Al Fork Lug-JAINSON,Al Fork Lug,Electrical BoS,Al Fork Lug,
AIFL-0001-DOWELL,2.5 sqmm Al Fork Lug-DOWELL,Al Fork Lug,Electrical BoS,Al Fork Lug,
CUFL-0001-COMET,2.5 sqmm Cu Fork Lug-COMET,Cu Fork Lug,Electrical BoS,Cu Fork Lug,
CUFL-0001-JAINSON,2.5 sqmm Cu Fork Lug-JAINSON,Cu Fork Lug,Electrical BoS,Cu Fork Lug,
CUFL-0001-DOWELL,2.5 sqmm Cu Fork Lug-DOWELL,Cu Fork Lug,Electrical BoS,Cu Fork Lug,
CSLF-0041,Sleeve Anchor Fastener SS304 M10x75,Sleeve Anchor Fastener,Welded MMS,Mechanical Anchor Fastener,
CALR-0017,Lug Gel,Lug Gel,Electrical BoS,Lug Gel,
PFEV-0001,"PVC Ferrules (A-Z , 0-9) - 6 sqmm",PVC Ferrules,Electrical BoS,PVC Ferrules,
PUNC-0002,Number Punching Tool (0-9),Number Punching,I&C Accessories,Number Punching,
PUNC-0001,Alphabet Punching Tool (A-Z),Alphabet Punching,I&C Accessories,Alphabet Punching,
FHDG-0031,PVC Plug Screw M8x40mm,Screw,Electrical BoS,Wall Screw,
FHDG-0030,Dry Wall Screw 6x32mm,Screw,Electrical BoS,Wall Screw,
FHDG-0029,HDG 8.8 Grade Spring Washer M24 (average 25 micron),HDG Spring Washer,Prefab MMS,HDG Spring Washer,
FHDG-0028,HDG 8.8 Grade Spring Washer M16 (average 25 micron),HDG Spring Washer,Prefab MMS,HDG Spring Washer,
FHDG-0027,HDG 8.8 Grade Spring Washer M12 (average 25 micron),HDG Spring Washer,Prefab MMS,HDG Spring Washer,
FHDG-0026,HDG 8.8 Grade Plain Washer M8 Standard OD 8x16x1.6mm (average 25 micron),HDG Plain Washer,Prefab MMS,HDG Plain Washer,
FHDG-0025,HDG 8.8 Grade Plain Washer M10 Large OD 8x25x1.6mm (average 25 micron),HDG Plain Washer,Prefab MMS,HDG Plain Washer,
FHDG-0024,HDG 4.6 Grade Spring Washer M24 (average 25 micron),HDG Spring Washer,Prefab MMS,HDG Spring Washer,
FHDG-0023,HDG 4.6 Grade Spring Washer M16 (average 25 micron),HDG Spring Washer,Prefab MMS,HDG Spring Washer,
FHDG-0022,HDG 8.8 Grade Plain Washer M24 Standard OD 24x44x4.0mm (average 25 micron),HDG Plain Washer,Prefab MMS,HDG Plain Washer,
FHDG-0021,HDG 8.8 Grade Plain Washer M16 Standard OD 16x30x3.0mm (average 25 micron),HDG Plain Washer,Prefab MMS,HDG Plain Washer,
FHDG-0020,HDG 8.8 Grade Plain Washer M12 Standard OD 12x24x2.5mm (average 25 micron),HDG Plain Washer,Prefab MMS,HDG Plain Washer,
FHDG-0019,HDG 8.8 Grade Plain Washer M12 Large OD 12x32x3.0mm (average 25 micron),HDG Plain Washer,Prefab MMS,HDG Plain Washer,
FHDG-0017,HDG 8.8 Grade Plain Washer M10 Large OD 10x25x3.0mm (average 25 micron),HDG Plain Washer,Prefab MMS,HDG Plain Washer,
FHDG-0016,Zinc plated E250 Grade Spring Nut M8,Spring Nut,Tin Shed MMS,Spring Nut,
FHDG-0015,HDG E250 Grade Spring Nut M8,Spring Nut,Tin Shed MMS,Spring Nut,
FHDG-0014,HDG 8.8 Grade Hex Nut M8 (average 25 micron coating),HDG Nut,Prefab MMS,HDG Hex Nut,
FHDG-0013,HDG 8.8 Grade Hex Nut M24 (average 25 micron coating),HDG Nut,Prefab MMS,HDG Hex Nut,
FHDG-0012,HDG 8.8 Grade Hex Nut M16 (average 25 micron coating),HDG Nut,Prefab MMS,HDG Hex Nut,
FHDG-0011,HDG 8.8 Grade Hex Nut M12 (average 25 micron coating),HDG Nut,Prefab MMS,HDG Hex Nut,
FHDG-0010,HDG 8.8 Grade Hex Nut M10 (average 25 micron coating),HDG Nut,Prefab MMS,HDG Hex Nut,
CCOP-0050,Switch + Socket (4 MODULES),Conduit Pipe Accessory,Conduit Pipe,PVC Conduit Pipe Accessories,
ASST-0075,Pump cover,Water Pump,Water Pipeline,Water Pump,
CCOP-0047,Teflon Tape,Conduit Pipe Accessory,Conduit Pipe,PVC Conduit Pipe Accessories,
DMCI-0001,Flat Type DMC Insulator (SP-30) - 25x3,DMC Insulator,Earthing & LA,DMC Insulator,
HCTY-0032,HDGI Cable Tray Cover 510x1.6x2500 (average 80 micron coating),Cable Tray,Cable Tray,HDGI Cable Tray Cover,
HCTY-0031,HDGI Cable Tray Cover 300x1.6x2500 (average 80 micron coating),Cable Tray,Cable Tray,HDGI Cable Tray Cover,
HCTY-0030,HDGI Cable Tray Cover 100x1.6x2500 (average 80 micron coating),Cable Tray,Cable Tray,HDGI Cable Tray Cover,
HCTY-0029,HDGI Cable Tray Cover 75x1.6x2500 (average 80 micron coating),Cable Tray,Cable Tray,HDGI Cable Tray Cover,
HCTY-0028,HDGI Cable Tray Cover 70x1.6x2500 (average 80 micron coating),Cable Tray,Cable Tray,HDGI Cable Tray Cover,
HCTY-0027,HDGI Cable Tray Cover 50x1.6x2500 (average 80 micron coating),Cable Tray,Cable Tray,HDGI Cable Tray Cover,
HCTY-0026,HDGI Cable Tray Cover 30x1.6x2500 (average 80 micron coating),Cable Tray,Cable Tray,HDGI Cable Tray Cover,
HCTY-0025,HDGI Perforated Cable Tray 510x25x1.8x2500 (average 80 micron coating),Cable Tray,Cable Tray,HDGI Cable Tray,
HCTY-0024,HDGI Perforated Cable Tray 300x100x1.8x2500 (average 80 micron coating),Cable Tray,Cable Tray,HDGI Cable Tray,
HCTY-0023,HDGI Perforated Cable Tray 300x75x1.8x2500 (average 80 micron coating),Cable Tray,Cable Tray,HDGI Cable Tray,
HCTY-0022,HDGI Perforated Cable Tray 300x50x1.8x2500 (average 80 micron coating),Cable Tray,Cable Tray,HDGI Cable Tray,
HCTY-0021,HDGI Perforated Cable Tray 100x75x1.8x2500 (average 80 micron coating),Cable Tray,Cable Tray,HDGI Cable Tray,
HCTY-0020,HDGI Perforated Cable Tray 100x50x1.8x2500 (average 80 micron coating),Cable Tray,Cable Tray,HDGI Cable Tray,
HCTY-0019,HDGI Perforated Cable Tray 75x50x1.8x2500 (average 80 micron coating),Cable Tray,Cable Tray,HDGI Cable Tray,
HCTY-0018,HDGI Perforated Cable Tray 70x50x1.8x2500 (average 80 micron coating),Cable Tray,Cable Tray,HDGI Cable Tray,
HCTY-0017,HDGI Perforated Cable Tray 50x50x1.8x2500 (average 80 micron coating),Cable Tray,Cable Tray,HDGI Cable Tray,
HCTY-0016,HDGI Perforated Cable Tray 50x30x1.8x2500 (average 80 micron coating),Cable Tray,Cable Tray,HDGI Cable Tray,
HCTY-0015,HDGI Perforated Cable Tray 30x30x1.8x2500 (average 80 micron coating),Cable Tray,Cable Tray,HDGI Cable Tray,
HCTY-0014,HDGI Perforated Cable Tray 30x25x1.8x2500 (average 80 micron coating),Cable Tray,Cable Tray,HDGI Cable Tray,
HCTY-0013,HDGI Perforated Cable Tray 510x25x1.6x2500 (average 80 micron coating),Cable Tray,Cable Tray,HDGI Cable Tray,
HCTY-0012,HDGI Perforated Cable Tray 300x100x1.6x2500 (average 80 micron coating),Cable Tray,Cable Tray,HDGI Cable Tray,
HCTY-0011,HDGI Perforated Cable Tray 300x75x1.6x2500 (average 80 micron coating),Cable Tray,Cable Tray,HDGI Cable Tray,
HCTY-0010,HDGI Perforated Cable Tray 300x50x1.6x2500 (average 80 micron coating),Cable Tray,Cable Tray,HDGI Cable Tray,
HCTY-0009,HDGI Perforated Cable Tray 200x50x1.6x2500 (average 80 micron coating),Cable Tray,Cable Tray,HDGI Cable Tray,
HCTY-0008,HDGI Perforated Cable Tray 150x50x1.6x2500 (average 80 micron coating),Cable Tray,Cable Tray,HDGI Cable Tray,
HCTY-0007,HDGI Perforated Cable Tray 100x50x1.6x2500 (average 80 micron coating),Cable Tray,Cable Tray,HDGI Cable Tray,
HCTY-0006,HDGI Perforated Cable Tray 75x50x1.6x2500 (average 80 micron coating),Cable Tray,Cable Tray,HDGI Cable Tray,
HCTY-0005,HDGI Perforated Cable Tray 70x50x1.6x2500 (average 80 micron coating),Cable Tray,Cable Tray,HDGI Cable Tray,
HCTY-0004,HDGI Perforated Cable Tray 50x50x1.6x2500 (average 80 micron coating),Cable Tray,Cable Tray,HDGI Cable Tray,
HCTY-0003,HDGI Perforated Cable Tray 50x30x1.6x2500 (average 80 micron coating),Cable Tray,Cable Tray,HDGI Cable Tray,
HCTY-0002,HDGI Perforated Cable Tray 30x30x1.6x2500 (average 80 micron coating),Cable Tray,Cable Tray,HDGI Cable Tray,
HCTY-0001,HDGI Perforated Cable Tray 30x25x1.6x2500 (average 80 micron coating),Cable Tray,Cable Tray,HDGI Cable Tray,
SFLI-0006,SS304 Perpendicular Post with 8mm Eye Bolt for Safety Lifeline,Safety Lifeline,Safety Lifeline,Safety Lifeline Post,
SFLI-0005,SS304 Parallel Post with 8mm Eye Bolt for Safety Lifeline,Safety Lifeline,Safety Lifeline,Safety Lifeline Post,
SFLI-0004,SS304 U-Clamp M8 for Safety Lifeline,Safety Lifeline,Safety Lifeline,Safety Lifeline Accessory,
SFLI-0003,SS304 Wire Rope M8,Safety Lifeline,Safety Lifeline,Safety Lifeline,
SFLI-0002,SS304 Thimble 8mm for Safety Lifeline,Safety Lifeline,Safety Lifeline,Safety Lifeline Accessory,
SFLI-0001,SS304 Turnbuckle 12mm for Safety Lifeline,Safety Lifeline,Safety Lifeline,Safety Lifeline Accessory,
EAST-0001,HDG Earth Strip 25x3.0mm - average 80 micron coating,Earth Strip,Earthing & LA,Earth Strip,
WMSS-0001,Ambient Temperature Sensor E-ADS100 with Shield,WMS Sensor,WMS,WMS Sensor,
DALA-0004,Wattmon Power Control Algorithm : ZFI / Genset,Data Logger,Data Logger,Data Logger Accessories,
DALA-0003,Wattmon MINI3-4G,Data Logger,Data Logger,Data Logger,
DALA-0002,Active Power Output Control for Zero Feed,Data Logger,Data Logger,Data Logger Accessories,
ACDB-1846,Aluminum POP Rivet 4.8x30mm,Rivet,Tin Shed MMS,Rivet,
ACDB-1845,Aluminum POP Rivet 4.8x35mm,Rivet,Tin Shed MMS,Rivet,
FARI-0016-Gesipa,Aluminum POP Rivet 4.8x15mm-Gesipa,Rivet,Tin Shed MMS,Rivet,
SADD-0008,"SS304 Saddle for 63mm / 2.5"" pipe",Saddle,Conduit Pipe,PVC Conduit Pipe Accessories,
SADD-0007,"SS304 Saddle for 50mm / 2"" pipe",Saddle,Conduit Pipe,PVC Conduit Pipe Accessories,
SADD-0006,"SS304 Saddle for 38mm / 1.5"" pipe",Saddle,Conduit Pipe,PVC Conduit Pipe Accessories,
SADD-0005,"SS304 Saddle for 32mm / 1.25"" pipe",Saddle,Conduit Pipe,PVC Conduit Pipe Accessories,
SADD-0004,"GI Saddle for 63mm / 2.5"" pipe",Saddle,Conduit Pipe,PVC Conduit Pipe Accessories,
SADD-0003,"GI Saddle for 50mm / 2"" pipe",Saddle,Conduit Pipe,PVC Conduit Pipe Accessories,
SADD-0002,"GI Saddle for 38mm / 1.5"" pipe",Saddle,Conduit Pipe,PVC Conduit Pipe Accessories,
SADD-0001,"GI Saddle for 32mm / 1.25"" pipe",Saddle,Conduit Pipe,PVC Conduit Pipe Accessories,
ACAB-0055-RR KABEL,Cu Armoured AC Cable 4C x 25 sqmm -RR KABEL,AC Cable,Cables,4C x 25 sqmm Cu AC Cable,
ACAB-0055-KEI,Cu Armoured AC Cable 4C x 25 sqmm -KEI,AC Cable,Cables,4C x 25 sqmm Cu AC Cable,
ACAB-0055-POLYCAB,Cu Armoured AC Cable 4C x 25 sqmm -POLYCAB,AC Cable,Cables,4C x 25 sqmm Cu AC Cable,
ACAB-0053-RR KABEL,Cu Flexible AC Cable 4C x 95 sqmm -RR KABEL,AC Cable,Cables,4C x 95 sqmm Cu AC Cable,
ACAB-0053-KEI,Cu Flexible AC Cable 4C x 95 sqmm -KEI,AC Cable,Cables,4C x 95 sqmm Cu AC Cable,
ACAB-0053-POLYCAB,Cu Flexible AC Cable 4C x 95 sqmm -POLYCAB,AC Cable,Cables,4C x 95 sqmm Cu AC Cable,
ACAB-0052-RR KABEL,Cu Flexible AC Cable 4C x 70 sqmm -RR KABEL,AC Cable,Cables,4C x 70 sqmm Cu AC Cable,
ACAB-0052-KEI,Cu Flexible AC Cable 4C x 70 sqmm -KEI,AC Cable,Cables,4C x 70 sqmm Cu AC Cable,
ACAB-0052-POLYCAB,Cu Flexible AC Cable 4C x 70 sqmm -POLYCAB,AC Cable,Cables,4C x 70 sqmm Cu AC Cable,
ACAB-0051-RR KABEL,Cu Flexible AC Cable 4C x 50 sqmm -RR KABEL,AC Cable,Cables,4C x 50 sqmm Cu AC Cable,
ACAB-0051-KEI,Cu Flexible AC Cable 4C x 50 sqmm -KEI,AC Cable,Cables,4C x 50 sqmm Cu AC Cable,
ACAB-0051-POLYCAB,Cu Flexible AC Cable 4C x 50 sqmm -POLYCAB,AC Cable,Cables,4C x 50 sqmm Cu AC Cable,
ACAB-0050-RR KABEL,Cu Flexible AC Cable 4C x 35 sqmm -RR KABEL,AC Cable,Cables,4C x 35 sqmm Cu AC Cable,
ACAB-0050-KEI,Cu Flexible AC Cable 4C x 35 sqmm -KEI,AC Cable,Cables,4C x 35 sqmm Cu AC Cable,
ACAB-0050-POLYCAB,Cu Flexible AC Cable 4C x 35 sqmm -POLYCAB,AC Cable,Cables,4C x 35 sqmm Cu AC Cable,
PAIT-0004-Sk Formulations,Thinner - 20 Ltr-Sk Formulations,Zinc Paint / Spray,I&C Accessories,Zinc Paint/Spray,
PAIT-0003-Sk Formulations,Primecoat ZN - 20 Ltr-Sk Formulations,Zinc Paint / Spray,I&C Accessories,Zinc Paint/Spray,
PAIT-0002-Sk Formulations,Cleanol - 30 Ltr-Sk Formulations,Zinc Paint / Spray,I&C Accessories,Zinc Paint/Spray,
PAIT-0001-Sk Formulations,Anticor SK03 - 20 Ltr-Sk Formulations,Zinc Paint / Spray,I&C Accessories,Zinc Paint/Spray,
GROU-0007-FOSROC,Nitobond EP - 4 Ltr-FOSROC,Grouting Chemical,Prefab MMS,Concrete Foundation,
GROU-0006-FOSROC,Nitobond EP - 1 Ltr-FOSROC,Grouting Chemical,Prefab MMS,Concrete Foundation,
GROU-0005-FOSROC,Nitobond EP - 500ml-FOSROC,Grouting Chemical,Prefab MMS,Concrete Foundation,
LORD-0001-LORD,810/20 Adhesive Cartridge - 400ml-LORD,Metal Adhesive,Tin Shed MMS,Metal Adhesive,
CPUS-0003-Gree,GREE AMRO R9 Expansion PU Foam Aerosol Can - 750ml-Gree,PU Foam Sealant,I&C Accessories,PUF Seal,
GROU-0004-FISCHER,FIS VL 410 C Cartridge - 410ml-FISCHER,Grouting Chemical,I&C Accessories,Hilti Chemical,
GROU-0003-FISCHER,FIS EP 585 S Cartridge - 585ml-FISCHER,Grouting Chemical,I&C Accessories,Hilti Chemical,
GROU-0002-HILTI,HIT-MM PLUS Cartridge 330ml-HILTI,Grouting Chemical,I&C Accessories,Hilti Chemical,
GROU-0001-HILTI,HIT-HY 170 Cartridge - 500ml-HILTI,Grouting Chemical,I&C Accessories,Hilti Chemical,
MDCR-0031-CANADIAN SOLAR,660 Wp Mono Non DCR-CANADIAN SOLAR,Non DCR,Module,Mono Non DCR - 600/660 Wp range (all makes),
ECAB-0020-OLLVIN,Cu Flexible Earthing Cable 1C x 25 sqmm-OLLVIN,Earthing Cable,Cables,25 sqmm Cu Earthing Cable,
ECAB-0020-WAACAB,Cu Flexible Earthing Cable 1C x 25 sqmm-WAACAB,Earthing Cable,Cables,25 sqmm Cu Earthing Cable,
ECAB-0020-KANBERY,Cu Flexible Earthing Cable 1C x 25 sqmm-KANBERY,Earthing Cable,Cables,25 sqmm Cu Earthing Cable,
ECAB-0020-JAINFLEX,Cu Flexible Earthing Cable 1C x 25 sqmm-JAINFLEX,Earthing Cable,Cables,25 sqmm Cu Earthing Cable,
ECAB-0020-KEI,Cu Flexible Earthing Cable 1C x 25 sqmm-KEI,Earthing Cable,Cables,25 sqmm Cu Earthing Cable,
ECAB-0020-POLYCAB,Cu Flexible Earthing Cable 1C x 25 sqmm-POLYCAB,Earthing Cable,Cables,25 sqmm Cu Earthing Cable,
ECAB-0021-OLLVIN,Al Flexible Earthing Cable 1C x 25 sqmm-OLLVIN,Earthing Cable,Cables,25 sqmm Al Earthing Cable,
ECAB-0021-WAACAB,Al Flexible Earthing Cable 1C x 25 sqmm-WAACAB,Earthing Cable,Cables,25 sqmm Al Earthing Cable,
ECAB-0021-KANBERY,Al Flexible Earthing Cable 1C x 25 sqmm-KANBERY,Earthing Cable,Cables,25 sqmm Al Earthing Cable,
ECAB-0021-JAINFLEX,Al Flexible Earthing Cable 1C x 25 sqmm-JAINFLEX,Earthing Cable,Cables,25 sqmm Al Earthing Cable,
ECAB-0021-KEI,Al Flexible Earthing Cable 1C x 25 sqmm-KEI,Earthing Cable,Cables,25 sqmm Al Earthing Cable,
ECAB-0021-POLYCAB,Al Flexible Earthing Cable 1C x 25 sqmm-POLYCAB,Earthing Cable,Cables,25 sqmm Al Earthing Cable,
ECAB-0022-OLLVIN,Cu Flexible Earthing Cable 1C x 35 sqmm-OLLVIN,Earthing Cable,Cables,35 sqmm Cu Earthing Cable,
ECAB-0022-WAACAB,Cu Flexible Earthing Cable 1C x 35 sqmm-WAACAB,Earthing Cable,Cables,35 sqmm Cu Earthing Cable,
ECAB-0022-KANBERY,Cu Flexible Earthing Cable 1C x 35 sqmm-KANBERY,Earthing Cable,Cables,35 sqmm Cu Earthing Cable,
ECAB-0022-JAINFLEX,Cu Flexible Earthing Cable 1C x 35 sqmm-JAINFLEX,Earthing Cable,Cables,35 sqmm Cu Earthing Cable,
ECAB-0022-KEI,Cu Flexible Earthing Cable 1C x 35 sqmm-KEI,Earthing Cable,Cables,35 sqmm Cu Earthing Cable,
ECAB-0022-POLYCAB,Cu Flexible Earthing Cable 1C x 35 sqmm-POLYCAB,Earthing Cable,Cables,35 sqmm Cu Earthing Cable,
ECAB-0023-OLLVIN,Al Flexible Earthing Cable 1C x 35 sqmm-OLLVIN,Earthing Cable,Cables,35 sqmm Al Earthing Cable,
ECAB-0023-WAACAB,Al Flexible Earthing Cable 1C x 35 sqmm-WAACAB,Earthing Cable,Cables,35 sqmm Al Earthing Cable,
ECAB-0023-KANBERY,Al Flexible Earthing Cable 1C x 35 sqmm-KANBERY,Earthing Cable,Cables,35 sqmm Al Earthing Cable,
ECAB-0023-JAINFLEX,Al Flexible Earthing Cable 1C x 35 sqmm-JAINFLEX,Earthing Cable,Cables,35 sqmm Al Earthing Cable,
ECAB-0023-KEI,Al Flexible Earthing Cable 1C x 35 sqmm-KEI,Earthing Cable,Cables,35 sqmm Al Earthing Cable,
ECAB-0023-POLYCAB,Al Flexible Earthing Cable 1C x 35 sqmm-POLYCAB,Earthing Cable,Cables,35 sqmm Al Earthing Cable,
ACAB-0029-RR KABEL,Cu Flexible AC Cable 2C x 2.5 sqmm -RR KABEL,AC Cable,Cables,2C x 2.5 sqmm Cu AC Cable,
ACAB-0029-KEI,Cu Flexible AC Cable 2C x 2.5 sqmm -KEI,AC Cable,Cables,2C x 2.5 sqmm Cu AC Cable,
ACAB-0029-POLYCAB,Cu Flexible AC Cable 2C x 2.5 sqmm -POLYCAB,AC Cable,Cables,2C x 2.5 sqmm Cu AC Cable,
ACAB-0030-RR KABEL,Cu Flexible AC Cable 2C x 10 sqmm -RR KABEL,AC Cable,Cables,2C x 10 sqmm Cu AC Cable,
ACAB-0030-KEI,Cu Flexible AC Cable 2C x 10 sqmm -KEI,AC Cable,Cables,2C x 10 sqmm Cu AC Cable,
ACAB-0030-POLYCAB,Cu Flexible AC Cable 2C x 10 sqmm -POLYCAB,AC Cable,Cables,2C x 10 sqmm Cu AC Cable,
ACAB-0031-RR KABEL,Cu Flexible AC Cable 2C x 16 sqmm -RR KABEL,AC Cable,Cables,2C x 16 sqmm Cu AC Cable,
ACAB-0031-KEI,Cu Flexible AC Cable 2C x 16 sqmm -KEI,AC Cable,Cables,2C x 16 sqmm Cu AC Cable,
ACAB-0031-POLYCAB,Cu Flexible AC Cable 2C x 16 sqmm -POLYCAB,AC Cable,Cables,2C x 16 sqmm Cu AC Cable,
