Item Code,Item Name,Item Group,Item category,Item Sub-Category,
MMDM-0004-SANDS,AMR - 4G-GPRS Modem ( with 6 dBIAntenna Compatible for Push & PullInterface: RS232 Serial/Optical port)-SANDS,Modem,,,
MDCR-0046-RAYZON,550 Wp Mono Non DCR-RAYZON,Non DCR,,,
INVS-0020-SOLAREDGE,4 kW 1 Phase Inverter-SOLAREDGE,II Gen,Inverter,1 Ph String Inverter,
MDCR-0032-RENEWSYS,550 Wp Mono Bifacial Non DCR-RENEWSYS,Non DCR,,,
ACDB-1864-TRINITY ENERGY SYSTEMS,Tiny Pro 6 MFM Multi Function Meter CL 1.0 with RS485-TRINITY ENERGY SYSTEMS,ACDB,,,
KITS-0028,Earthing & LA Kit - 6 (with 3P LA Stand & SS LA with Insulator Base),Kitt,Earthing & LA,Earthing & LA Kit,
EALA-0036-Torrent,"HDG LA Supporting Mast 2 Mtr with insulator, guy wire and fixing accessories-Torrent",LA Accessory,Earthing & LA,LA Stand,
MDCR-0012-NAVITAS,545 Wp Mono Non DCR-NAVITAS,Non DCR,Module,Mono Non DCR (all makes),
MDCR-0009-NAVITAS,540 Wp Mono Non DCR-NAVITAS,Non DCR,Module,Mono Non DCR (all makes),
GMTR-0021-L&T,"10-40A, Class 1, TVM 3P 4W 240V DLMS, Three Phase Generation Meter for MSEDCL (WR300BC63MSDLMS)-L&T",Generation Meter,Metering,Generation Meter,
GMTR-0020-L&T,"5-30A, Class 1,  DLMS, 1P 2W 240V, Single Phase Generation Meter for MSEDCL (WM101BC5MSDLMS)-L&T",Generation Meter,Metering,Generation Meter,
INVS-0215-GROWATT,33 kW 3 Phase Inverter-GROWATT,II Gen,Inverter,3 Ph String Inverter,
INVS-0214-GROWATT,60 kW 3 Phase Inverter-GROWATT,II Gen,Inverter,3 Ph String Inverter,
INVS-0213-GROWATT,80 kW 3 Phase Inverter-GROWATT,II Gen,Inverter,3 Ph String Inverter,
EPDM-0004-BHAWANI,Hat EPDM - 6mm-BHAWANI,EPDM Washer / Tape,Tin Shed MMS,EPDM Washer / Tape,
